keyword,times,percentage
visual analytics,1131,2.244492955
information visualization,995,1.974598135
visualization,796,1.579678508
volume rendering,753,1.494344116
flow visualization,526,1.043857908
multidimensional visualization,441,0.875173646
scientific visualization,342,0.678706092
interaction,340,0.674737051
multi-resolution,323,0.641000198
volume visualization,274,0.543758682
interactive visualization,268,0.531851558
focus+context,248,0.492161143
parallel coordinates,235,0.466362373
direct volume rendering,224,0.444532645
high-dimensional data,220,0.436594562
human-computer interaction,217,0.430641
user interfaces,216,0.428656479
clustering,207,0.410795793
evaluation,201,0.398888668
transfer function,194,0.384997023
uncertainty visualization,193,0.383012502
level-of-detail,190,0.37705894
computational geometry,187,0.371105378
graph visualization,179,0.355229212
design study,168,0.333399484
multivariate data,167,0.331414963
exploratory visualization,162,0.32149236
framework,158,0.313554277
sensemaking,156,0.309585235
isosurface,145,0.287755507
feature extraction,139,0.275848383
text visualization,132,0.261956737
time-varying data,131,0.259972217
streamlines,129,0.256003175
isosurfaces,126,0.250049613
information retrieval,122,0.24211153
biomedical visualization,119,0.236157968
user interaction,118,0.234173447
spatiotemporal ,116,0.230204406
topology,115,0.228219885
unstructured ,113,0.224250843
diffusion tensor,111,0.220281802
automated design of graphical displays,110,0.218297281
cooperative design and modeling,110,0.218297281
design automation,110,0.218297281
grammar-directed design,110,0.218297281
surface reconstruction,109,0.21631276
visual knowledge discovery,109,0.21631276
design,108,0.21432824
geometric modeling,108,0.21432824
comparative visualization,107,0.212343719
graphics hardware,107,0.212343719
isosurface extraction,107,0.212343719
texture mapping,107,0.212343719
vector field visualization,107,0.212343719
collaboration,106,0.210359198
illustrative visualization,104,0.206390157
interactive clustering,104,0.206390157
time-dependent data,104,0.206390157
volume modeling,104,0.206390157
qualitative evaluation,103,0.204405636
visualization systems,100,0.198452074
sweeping,97,0.192498512
uncertainty,97,0.192498512
multivariate visualization,96,0.190513991
animation,95,0.18852947
virtual reality,95,0.18852947
classification,92,0.182575908
user study,91,0.180591387
interactivity,90,0.178606866
marching cubes,86,0.170668783
medical visualization,86,0.170668783
network visualization,86,0.170668783
interaction techniques,85,0.168684263
metrics,85,0.168684263
multiple views,85,0.168684263
time series data,84,0.166699742
data structures,83,0.164715221
ray casting,83,0.164715221
bezier surface,81,0.16074618
contour data,81,0.16074618
minimum area triangulation,81,0.16074618
perception,78,0.154792618
reconstruction,77,0.152808097
graph drawing,76,0.150823576
visual exploration,76,0.150823576
brushing,74,0.146854535
optimization,72,0.142885493
data transformation,71,0.140900972
direct manipulation,71,0.140900972
non-photorealistic rendering,71,0.140900972
interpolation,68,0.13494741
simplification,68,0.13494741
visualization models,67,0.132962889
experiment,66,0.130978369
geovisualization,66,0.130978369
machine learning,66,0.130978369
morse-smale complex,66,0.130978369
coordinated multiple views,65,0.128993848
gpu,65,0.128993848
information theory,65,0.128993848
navigation,65,0.128993848
quantitative evaluation,65,0.128993848
simulation,65,0.128993848
task and requirements analysis,65,0.128993848
taxonomy,65,0.128993848
algorithms,64,0.127009327
dimensionality reduction,64,0.127009327
scatterplot,64,0.127009327
vector fields,64,0.127009327
rendering,63,0.125024807
scatterplots,63,0.125024807
treemaps,62,0.123040286
data exploration,61,0.121055765
graphs,61,0.121055765
knowledge discovery,61,0.121055765
sampling,61,0.121055765
intelligence analysis,60,0.119071244
lic,60,0.119071244
critical points,59,0.117086724
expected time complexity,59,0.117086724
nearest common ancestor,59,0.117086724
point-based visualization,59,0.117086724
toolkits,59,0.117086724
visualization of volume data,59,0.117086724
hardware acceleration,58,0.115102203
virtual environments,57,0.113117682
visual analysis,57,0.113117682
compression,56,0.111133161
illustrative rendering,56,0.111133161
stress tensor,56,0.111133161
investigative analysis,55,0.109148641
social media,55,0.109148641
vector field,55,0.109148641
3d vector field visualization,54,0.10716412
unsteady flow visualization,54,0.10716412
view-dependent,54,0.10716412
visualization design,54,0.10716412
feature tracking,53,0.105179599
provenance,53,0.105179599
radial visualization,53,0.105179599
segmentation,53,0.105179599
coordinated and multiple views,52,0.103195078
data visualization,52,0.103195078
hierarchies,52,0.103195078
categorical data,51,0.101210558
node-link diagrams,51,0.101210558
splatting,51,0.101210558
time series analysis,51,0.101210558
unsteady flow,51,0.101210558
glyphs,49,0.097241516
human factors,48,0.095256995
time-varying,48,0.095256995
linked views,46,0.091287954
scalar fields,46,0.091287954
cfd,45,0.089303433
feature detection,45,0.089303433
force-directed ,45,0.089303433
interactive,45,0.089303433
text analytics,45,0.089303433
computational topology,44,0.087318912
contour tree,44,0.087318912
visibility culling,44,0.087318912
feature selection,43,0.085334392
levels-of-detail,43,0.085334392
parameter space analysis,43,0.085334392
analytic provenance,42,0.083349871
case study,42,0.083349871
computational fluid dynamics (cfd),42,0.083349871
deformation,42,0.083349871
eye tracking,42,0.083349871
graphical user interface,42,0.083349871
interaction design,42,0.083349871
interval volume,42,0.083349871
data partitioning,41,0.08136535
exploration,41,0.08136535
kernel density estimation,41,0.08136535
mesh simplification,41,0.08136535
programmable graphics hardware,41,0.08136535
time series,41,0.08136535
treemap,41,0.08136535
vessel visualization,41,0.08136535
digital humanities,40,0.07938083
set visualization,40,0.07938083
theory,40,0.07938083
data analysis,39,0.077396309
ensemble visualization,39,0.077396309
movement data,39,0.077396309
natural-language interface,39,0.077396309
neuroscience,39,0.077396309
text and document data,39,0.077396309
computer vision,38,0.075411788
image-based rendering,38,0.075411788
large data visualization,38,0.075411788
multi-field visualization,38,0.075411788
scalability,38,0.075411788
scatterplot matrix,38,0.075411788
glyph,37,0.073427267
integrating spatial and non-spatial data visualization,37,0.073427267
molecular visualization,37,0.073427267
out-of-core algorithms,37,0.073427267
triangulation,37,0.073427267
vector field topology,37,0.073427267
computer-assisted ,36,0.071442747
domain specific languages,36,0.071442747
dynamic query,36,0.071442747
real-time,36,0.071442747
streak surface generation,36,0.071442747
volume illumination,36,0.071442747
design space,35,0.069458226
dynamic visualization,35,0.069458226
graph layout,35,0.069458226
medical imaging,35,0.069458226
morse theory,35,0.069458226
themeriver,35,0.069458226
tree visualization,35,0.069458226
world wide web,35,0.069458226
data clustering,34,0.067473705
data management,34,0.067473705
line integral convolution,34,0.067473705
multivariate,34,0.067473705
streak lines,34,0.067473705
topic modeling,34,0.067473705
anomaly detection,33,0.065489184
astronomy,33,0.065489184
distributed cognition,33,0.065489184
implicit surface,33,0.065489184
input-output model,33,0.065489184
large data set visualization,33,0.065489184
literature analysis,33,0.065489184
regression,33,0.065489184
task characterization,33,0.065489184
tensor fields,33,0.065489184
visual abstraction,33,0.065489184
visualization in physical ,33,0.065489184
3d interaction,32,0.063504664
applications of visualization,32,0.063504664
design studies,32,0.063504664
information diffusion,32,0.063504664
layout,32,0.063504664
quality metrics,32,0.063504664
reasoning process,32,0.063504664
software visualization,32,0.063504664
surface extraction,32,0.063504664
surface simplification,32,0.063504664
time-varying fields,32,0.063504664
transportation,32,0.063504664
visibility,32,0.063504664
visualization taxonomies and models,32,0.063504664
3d visualization,31,0.061520143
bicluster,31,0.061520143
database visualization,31,0.061520143
empirical study,31,0.061520143
event detection,31,0.061520143
physical visualization,31,0.061520143
portals,31,0.061520143
scalar field visualization,31,0.061520143
tensor field visualization,31,0.061520143
user-centered design,31,0.061520143
visual data mining,31,0.061520143
cognitive model,30,0.059535622
dynamic networks,30,0.059535622
hierarchical representation,30,0.059535622
large datasets,30,0.059535622
lens,30,0.059535622
object-oriented,30,0.059535622
problem solving,30,0.059535622
qualitative experiment,30,0.059535622
roadblock,30,0.059535622
social network,30,0.059535622
socialnetsense,30,0.059535622
stream surfaces,30,0.059535622
texture-based visualization,30,0.059535622
view-dependent rendering,30,0.059535622
design methodologies,29,0.057551101
graphical perception,29,0.057551101
network security,29,0.057551101
novices,29,0.057551101
principal component analysis,29,0.057551101
reasoning,29,0.057551101
tensor visualization,29,0.057551101
uncertainty modeling,29,0.057551101
visual mapping,29,0.057551101
visual query language,29,0.057551101
visualization construction,29,0.057551101
vortex extraction,29,0.057551101
aggregation,28,0.055566581
bioinformatics,28,0.055566581
brushing and linking,28,0.055566581
computational steering,28,0.055566581
filtering,28,0.055566581
graphics,28,0.055566581
high dimensional visualization,28,0.055566581
